37
idx	RT	PRT	ST	amb_id
36	1246.95	1246.95	600.00	13
35	1788.18	1788.18	600.00	11
34	3897.24	5397.24	600.00	12
33	696.52	696.52	600.00	7
32	634.71	634.71	600.00	19
31	580.59	8322.38	1632.98	5
30	4279.51	5779.51	600.00	14
29	597.07	3888.27	600.00	6
12	4356.83	5856.83	600.00	8
11	671.36	2685.42	600.00	3
10	1546.37	6185.47	600.00	9
9	1982.51	7982.51	2159.64	15
8	195.61	6782.44	2669.70	13
7	1466.72	7466.72	3301.14	11
6	6879.26	27517.05	600.00	19
5	964.19	2464.19	600.00	2
4	502.41	3509.64	600.00	8
3	454.31	7817.24	1453.03	1
2	1818.22	7272.88	3478.17	14
1	1613.24	1613.24	600.00	15
0	1700.98	6803.92	600.00	5
13	2670.98	2670.98	600.00	7
14	237.36	2449.44	600.00	12
15	1934.21	9236.85	600.00	0
16	698.66	4294.65	600.00	10
17	3745.56	3745.56	600.00	17
18	2443.28	3943.28	600.00	2
19	183.55	734.21	600.00	3
20	1180.33	7180.33	600.00	11
21	1547.82	7691.30	600.00	16
22	2521.53	4021.53	600.00	14
23	207.35	829.40	1288.92	4
24	2628.18	2628.18	1419.00	12
25	4124.44	4124.44	600.00	18
26	763.00	763.00	600.00	9
27	165.72	2162.87	600.00	0
28	1839.09	1839.09	600.00	15
