37
idx	RT	PRT	ST	amb_id
36	460.07	460.07	600.00	9
35	1886.77	1886.77	600.00	3
34	946.96	946.96	600.00	15
33	1501.64	1501.64	600.00	13
32	1733.65	1733.65	600.00	9
31	238.31	953.24	1286.36	10
30	1942.52	1942.52	600.00	1
29	1817.35	8769.42	600.00	16
12	806.88	806.88	600.00	15
6	4251.60	17006.41	600.00	5
11	1593.23	6372.90	600.00	1
10	1059.31	4237.24	600.00	13
9	431.30	431.30	2349.28	4
8	200.55	802.22	2642.50	2
5	3633.93	3633.93	600.00	11
4	4386.14	17544.58	600.00	7
3	407.72	1630.89	1764.11	12
2	538.06	2152.23	4616.80	10
1	1984.67	3484.67	600.00	8
13	461.94	461.94	600.00	9
0	1885.50	7542.02	600.00	5
7	3139.64	3139.64	1892.13	12
14	225.66	902.62	600.00	3
15	1338.25	5352.99	600.00	11
16	1936.33	7745.32	600.00	17
17	1488.89	1488.89	600.00	1
19	1099.52	4398.09	600.00	13
18	5572.76	5572.76	600.00	11
20	495.37	495.37	600.00	14
21	691.30	2765.19	600.00	15
22	680.79	680.79	600.00	9
23	472.50	1890.01	1384.50	4
24	2901.15	2901.15	1538.55	6
25	1331.82	1331.82	600.00	10
26	1287.71	1287.71	600.00	5
27	297.46	1189.84	600.00	13
28	988.99	988.99	600.00	7
