37
idx	RT	PRT	ST	amb_id
36	804.90	804.90	600.00	13
35	434.77	1934.77	600.00	20
34	2136.53	3636.53	600.00	8
33	690.64	690.64	600.00	11
32	88.50	88.50	600.00	13
31	1181.33	10725.31	1560.13	5
30	584.09	2084.09	600.00	6
29	194.93	2279.72	600.00	18
12	251.75	251.75	600.00	11
11	2020.50	9581.99	600.00	10
10	1813.19	7252.77	600.00	23
9	556.78	556.78	2467.81	20
8	6061.62	30246.50	4506.02	25
7	91.89	6091.89	2109.18	5
6	828.33	3313.31	600.00	7
5	994.19	994.19	600.00	13
4	785.81	4643.26	600.00	18
3	412.48	7649.92	2001.18	21
2	1213.63	4854.51	3713.51	22
1	217.50	217.50	600.00	1
0	2303.78	9215.12	600.00	5
13	394.46	394.46	600.00	15
14	379.36	3017.44	600.00	4
15	222.60	2390.39	600.00	0
16	710.67	2842.70	600.00	1
17	2842.21	2842.21	600.00	21
18	385.30	1885.30	600.00	16
19	390.24	1560.97	600.00	11
20	734.66	734.66	600.00	14
21	959.11	3836.45	600.00	17
22	232.28	1732.28	600.00	2
23	92.84	6371.35	1461.28	3
24	141.61	141.61	1349.20	12
25	861.59	6861.59	600.00	5
26	319.75	319.75	600.00	15
27	453.84	3315.36	600.00	4
28	776.21	776.21	600.00	7
