37
idx	RT	PRT	ST	amb_id
36	633.21	633.21	600.00	19
35	289.00	289.00	600.00	1
34	758.90	758.90	600.00	17
31	1211.98	4847.91	1536.16	4
33	886.49	886.49	600.00	15
32	609.13	609.13	600.00	5
30	566.57	2066.57	600.00	6
29	870.79	4983.14	600.00	18
12	343.36	343.36	600.00	1
11	1013.04	4052.17	600.00	21
10	2125.93	8503.71	600.00	9
9	156.89	156.89	2162.64	12
8	254.50	1017.99	2842.22	14
7	678.81	678.81	1898.55	10
6	990.32	3961.26	600.00	7
5	1418.14	1418.14	600.00	11
4	344.52	2878.08	600.00	8
3	488.78	1955.14	1760.36	20
2	2098.28	8393.13	2529.61	4
1	882.94	882.94	600.00	1
0	2461.03	9844.12	600.00	5
13	317.79	317.79	600.00	13
14	558.43	2233.74	600.00	15
15	821.48	3285.93	600.00	19
16	401.00	1604.00	600.00	11
17	591.77	591.77	600.00	5
18	854.74	2354.74	600.00	16
19	999.92	3999.70	600.00	7
20	1412.55	1412.55	600.00	2
21	1083.62	4334.48	600.00	17
22	208.04	208.04	600.00	1
24	1244.10	1244.10	1364.83	20
23	1204.40	4817.61	1511.69	12
25	534.70	534.70	600.00	0
26	1200.10	1200.10	600.00	21
27	1059.33	4237.30	600.00	9
28	833.35	833.35	600.00	13
