37
idx	RT	PRT	ST	amb_id
36	90.46	1590.46	600.00	2
35	1591.07	1591.07	600.00	1
34	827.01	2327.01	600.00	8
33	565.56	2065.56	600.00	4
32	967.44	2467.44	600.00	0
31	2260.81	15043.22	1582.04	13
30	407.66	1907.66	600.00	16
29	1537.09	6148.37	600.00	17
12	203.75	203.75	600.00	11
11	331.49	2825.94	600.00	10
10	1626.50	6506.00	600.00	5
9	556.78	556.78	2467.81	20
8	6061.62	30246.50	4506.02	25
7	1050.39	1050.39	2018.82	2
6	828.33	3313.31	600.00	7
5	994.19	994.19	600.00	13
4	785.81	4643.26	600.00	18
3	412.48	7649.92	2001.18	21
2	1213.63	4854.51	3713.51	22
1	217.50	217.50	600.00	1
0	2303.78	9215.12	600.00	5
13	394.46	394.46	600.00	15
14	813.84	4755.35	600.00	4
15	222.60	2390.39	600.00	0
16	1192.75	4771.01	600.00	23
17	495.09	1995.09	600.00	10
18	409.01	1909.01	600.00	8
19	2190.48	8761.93	600.00	21
20	658.51	6658.51	600.00	11
21	2929.64	11718.57	600.00	5
22	1512.07	3012.07	600.00	12
23	92.84	6371.35	1461.28	1
24	264.70	6264.70	1299.07	3
25	1905.63	7905.63	600.00	9
26	319.15	319.15	600.00	15
27	967.95	3871.81	600.00	19
28	3803.44	3803.44	600.00	7
