69
idx	RT	PRT	ST	amb_id
68	5246.96	20987.84	600.00	1
67	3816.40	3816.40	600.00	3
66	5893.49	23573.96	600.00	5
65	4770.78	4770.78	600.00	7
64	3800.29	3800.29	600.00	2
63	2966.64	2966.64	600.00	7
62	2604.47	10417.86	1295.39	0
61	2700.23	12300.91	600.00	4
60	3236.89	12947.54	600.00	5
59	4944.66	21278.62	600.00	6
28	1847.41	7389.62	1577.04	2
27	2651.99	2651.99	600.00	5
26	2843.58	2843.58	600.00	9
25	2386.90	2386.90	600.00	1
24	2928.96	2928.96	600.00	3
23	1896.37	7585.48	600.00	5
22	2415.80	9663.18	600.00	3
21	3138.51	12554.06	1591.84	4
20	300.42	300.42	2449.96	6
19	994.29	3977.15	600.00	7
18	2133.16	8532.65	600.00	9
17	1688.67	6754.70	1614.47	0
16	1566.20	1566.20	600.00	3
15	1761.88	7047.54	600.00	5
14	1510.66	6042.62	1206.81	2
13	1610.92	1610.92	600.00	9
0	1347.92	1347.92	600.00	1
1	1436.44	1436.44	600.00	7
2	1809.51	1809.51	600.00	3
3	615.64	3962.56	600.00	0
4	1525.61	1525.61	1540.69	4
5	1779.59	1779.59	600.00	7
6	680.74	680.74	600.00	5
7	1310.07	5240.26	600.00	1
8	897.18	897.18	600.00	9
9	2109.11	8436.42	600.00	1
10	1095.72	1095.72	600.00	5
11	1656.41	1656.41	600.00	0
12	373.63	1494.52	2819.93	8
29	3808.50	3808.50	600.00	1
30	2960.64	13342.55	600.00	0
31	3133.89	12535.56	600.00	3
32	3005.87	3005.87	600.00	5
33	3553.60	3553.60	600.00	7
34	3041.23	12164.91	600.00	9
35	3647.91	3647.91	600.00	5
36	1419.56	7178.23	600.00	6
37	623.01	3992.03	600.00	8
38	2230.69	3730.69	600.00	8
39	2871.82	2871.82	1387.33	4
40	3047.52	3047.52	600.00	3
41	3523.84	3523.84	600.00	1
42	3174.80	3174.80	600.00	7
43	1924.78	9199.13	600.00	2
44	3266.10	3266.10	600.00	0
45	2232.18	10428.72	600.00	6
46	2891.14	2891.14	600.00	2
47	2970.34	2970.34	600.00	9
48	3775.55	15102.19	600.00	3
49	3451.05	3451.05	600.00	7
50	2409.13	3909.13	600.00	8
51	3674.60	3674.60	600.00	6
52	2635.02	2635.02	600.00	5
53	4197.07	18288.29	600.00	8
54	5300.91	22703.66	600.00	8
55	3672.97	14691.88	600.00	1
56	2982.85	11931.39	1513.94	2
57	3518.00	14072.00	600.00	9
58	6410.42	6410.42	600.00	9
