37
idx	RT	PRT	ST	amb_id
36	466.63	1966.63	600.00	4
35	949.72	949.72	600.00	23
34	1138.71	2638.71	600.00	8
33	1655.67	3155.67	600.00	20
32	695.14	2195.14	600.00	28
31	729.40	2917.61	1504.43	16
30	7615.48	9115.48	600.00	18
29	3408.28	13633.13	600.00	5
12	1257.10	1257.10	600.00	1
11	958.93	5335.72	600.00	20
10	696.57	2786.28	600.00	23
9	33.82	33.82	1956.76	10
8	442.90	7771.61	3620.39	25
7	546.10	546.10	2300.37	2
6	793.38	3173.51	600.00	7
5	295.11	295.11	600.00	11
4	460.75	3342.99	600.00	18
3	253.24	1012.95	1701.91	12
2	725.10	8900.41	8105.02	21
1	449.69	449.69	600.00	1
0	3165.52	12662.08	600.00	5
13	762.31	2262.31	600.00	4
14	667.26	4169.02	600.00	0
15	284.11	1136.44	600.00	13
16	2970.62	13382.49	600.00	28
17	1402.65	2902.65	600.00	22
18	784.76	784.76	600.00	27
19	795.26	3181.04	600.00	29
20	226.23	6226.23	600.00	15
21	3736.69	16446.75	600.00	16
22	209.89	209.89	600.00	11
23	904.19	3616.77	1423.33	24
24	333.32	6333.32	1398.13	3
25	621.52	6621.52	600.00	1
26	73.50	1573.50	600.00	0
27	329.06	1316.25	600.00	23
28	1522.84	1522.84	600.00	17
