37
idx	RT	PRT	ST	amb_id
36	6194.96	6194.96	600.00	1
35	5600.18	7100.18	600.00	0
34	19047.40	19047.40	600.00	3
33	4698.04	6198.04	600.00	0
30	73190.54	73190.54	600.00	5
32	17275.80	17275.80	600.00	3
29	96471.57	387386.30	600.00	4
31	15261.44	67045.77	1443.35	3
12	83916.91	85416.91	600.00	4
11	83144.98	334079.91	600.00	4
10	81343.23	326872.93	600.00	4
6	79005.95	317523.79	600.00	4
8	73256.82	293027.26	2890.01	4
9	9643.41	15643.41	2041.98	3
7	615.30	6615.30	1995.91	1
5	2769.19	4269.19	600.00	0
4	5530.50	22122.00	600.00	3
3	857.24	3428.96	1615.46	0
2	2300.73	15202.90	3342.46	7
1	953.03	953.03	600.00	1
0	2260.25	9040.98	600.00	9
13	85257.47	86757.47	600.00	4
14	86963.75	349355.01	600.00	4
15	88665.30	356161.18	600.00	4
20	10536.59	16536.59	600.00	3
16	89947.11	361288.45	600.00	4
17	1560.18	3060.18	600.00	0
18	73085.07	73085.07	600.00	5
19	2158.50	10134.01	600.00	0
23	10927.68	49710.72	1451.48	3
24	12488.26	18488.26	1340.72	3
21	90134.30	362037.18	600.00	4
22	3328.31	4828.31	600.00	0
25	15078.37	21078.37	600.00	3
26	92746.25	94246.25	600.00	4
27	4191.99	18267.97	600.00	0
28	95923.08	97423.08	600.00	4
